Version,Year,Script
1.1,1993,ARABIC
1.1,1993,ARMENIAN
1.1,1993,BENGALI
1.1,1993,BOPOMOFO
1.1,1993,CYRILLIC
1.1,1993,DEVANAGARI
1.1,1993,GEORGIAN
1.1,1993,GREEK
1.1,1993,GUJARATI
1.1,1993,GURMUKHI
1.1,1993,HAN
1.1,1993,HANGUL
1.1,1993,HEBREW
1.1,1993,HIRAGANA
1.1,1993,KANNADA
1.1,1993,KATAKANA
1.1,1993,LAO
1.1,1993,LATIN
1.1,1993,MALAYALAM
1.1,1993,ORIYA
1.1,1993,TAMIL
1.1,1993,TELUGU
1.1,1993,THAI
2.0,1996,TIBETAN
3.0,1999,BRAILLE
3.0,1999,CANADIAN SYLLABICS
3.0,1999,CHEROKEE
3.0,1999,ETHIOPIC
3.0,1999,KHMER
3.0,1999,MONGOLIAN
3.0,1999,MYANMAR
3.0,1999,OGHAM
3.0,1999,RUNIC
3.0,1999,SINHALA
3.0,1999,SYRIAC
3.0,1999,THAANA
3.0,1999,YI
3.1,2001,DESERET
3.1,2001,GOTHIC
3.1,2001,OLD ITALIC
3.2,2002,BUHID
3.2,2002,HANUNÓO
3.2,2002,TAGALOG
3.2,2002,TAGBANWA
4.0,2003,CYPRIOT
4.0,2003,LIMBU
4.0,2003,LINEAR B
4.0,2003,OSMANYA
4.0,2003,SHAVIAN
4.0,2003,TAI LE
4.0,2003,UGARITIC
4.1,2005,BUGINESE
4.1,2005,COPTIC
4.1,2005,GLAGOLITIC
4.1,2005,KHAROSHTHI
4.1,2005,NEW TAI LUE
4.1,2005,OLD PERSIAN CUNEIFORM
4.1,2005,SYLOTI NAGRI
4.1,2005,TIFINAGH
5.0,2006,BALINESE
5.0,2006,N'KO
5.0,2006,PHAGS-PA
5.0,2006,PHOENICIAN
5.0,2006,SUMERO-AKKADIAN CUNEIFORM
5.1,2008,CARIAN
5.1,2008,CHAM
5.1,2008,KAYAH LI
5.1,2008,LEPCHA
5.1,2008,LYCIAN
5.1,2008,LYDIAN
5.1,2008,OL CHIKI
5.1,2008,REJANG
5.1,2008,SAURASHTRA
5.1,2008,SUNDANESE
5.1,2008,VAI
5.2,2009,AVESTAN
5.2,2009,BAMUM
5.2,2009,EGYPTIAN HIEROGLYPHS
5.2,2009,IMPERIAL ARAMAIC
5.2,2009,INSCRIPTIONAL PAHLAVI
5.2,2009,INSCRIPTIONAL PARTHIAN
5.2,2009,JAVANESE
5.2,2009,KAITHI
5.2,2009,LISU
5.2,2009,MEETEI MAYEK
5.2,2009,OLD SOUTH ARABIAN
5.2,2009,OLD TURKIC
5.2,2009,SAMARITAN
5.2,2009,TAI THAM
5.2,2009,TAI VIET
6.0,2010,BATAK
6.0,2010,BRAHMI
6.0,2010,MANDAIC
6.1,2012,CHAKMA
6.1,2012,MEROITIC CURSIVE
6.1,2012,MEROITIC HIEROGLYPHS
6.1,2012,MIAO
6.1,2012,SHARADA
6.1,2012,SORA SOMPENG
6.1,2012,TAKRI
7.0,2014,BASSA VAH
7.0,2014,CAUCASIAN ALBANIAN
7.0,2014,DUPLOYAN (SHORTHAND)
7.0,2014,ELBASAN
7.0,2014,GRANTHA
7.0,2014,KHOJKI
7.0,2014,KHUDAWADI
7.0,2014,LINEAR A
7.0,2014,MAHAJANI
7.0,2014,MANICHAEAN
7.0,2014,MENDE KIKAKUI
7.0,2014,MODI
7.0,2014,MRO
7.0,2014,NABATAEAN
7.0,2014,OLD NORTH ARABIAN
7.0,2014,OLD PERMIC
7.0,2014,PAHAWH HMONG
7.0,2014,PALMYRENE
7.0,2014,PAU CIN HAU
7.0,2014,PSALTER PAHLAVI
7.0,2014,SIDDHAM
7.0,2014,TIRHUTA
7.0,2014,WARANG CITI
8.0,2015,AHOM
8.0,2015,ANATOLIAN HIEROGLYPHS
8.0,2015,HATRAN
8.0,2015,MULTANI
8.0,2015,OLD HUNGARIAN
8.0,2015,SUTTON SIGNWRITING
9.0,2016,ADLAM
9.0,2016,BHAIKSUKI
9.0,2016,MARCHEN
9.0,2016,NEWA
9.0,2016,OSAGE
9.0,2016,TANGUT
10.0,2017,MASARAM GONDI
10.0,2017,NUSHU
10.0,2017,SOYOMBO
10.0,2017,ZANABAZAR SQUARE
11.0,2018,DOGRA
11.0,2018,GUNJALA GONDI
11.0,2018,HANIFI ROHINGYA
11.0,2018,MAKASAR
11.0,2018,MEDEFAIDRIN
11.0,2018,OLD SOGDIAN
11.0,2018,SOGDIAN
12.0,2019,ELYMAIC
12.0,2019,NANDINAGARI
12.0,2019,NYIAKENG PUACHUE HMONG
12.0,2019,WANCHO
13.0,2020,CHORASMIAN
13.0,2020,DIVES AKURU
13.0,2020,KHITAN SMALL SCRIPT
13.0,2020,YEZIDI
14.0,2021,CYPRO-MINOAN
14.0,2021,OLD UYGHUR
14.0,2021,TANGSA
14.0,2021,TOTO
14.0,2021,VITHKUQI
15.0,2022,KAWI
15.0,2022,NAG MUNDARI
